,Portfolio Value,SPY Value
2026-03-20 15:30:00+00:00,10753.576921727494,9710.952178567817
2026-03-20 16:00:00+00:00,10714.086867534663,9713.25695058057
2026-03-20 16:30:00+00:00,10672.355515957406,9708.349665231639
2026-03-20 17:00:00+00:00,10616.25181197466,9699.276724598536
2026-03-20 17:30:00+00:00,10583.880364129272,9687.974355031474
2026-03-20 18:00:00+00:00,10517.905194274139,9658.674974859921
2026-03-20 18:30:00+00:00,10475.151527972273,9638.597405983184
2026-03-20 19:00:00+00:00,10430.72922066323,9624.319438677723
2026-03-20 19:30:00+00:00,10536.280062543943,9644.992490201314
2026-03-23 13:30:00+00:00,10923.930554147231,9819.149378455908
2026-03-23 14:00:00+00:00,11026.215704881079,9830.60152643262
2026-03-23 14:30:00+00:00,10983.68368019935,9831.493842654965
2026-03-23 15:00:00+00:00,10879.824033433437,9829.114635311356
2026-03-23 15:30:00+00:00,10683.0428906129,9756.536556734154
2026-03-23 16:00:00+00:00,10613.002998049325,9727.981529871167
2026-03-23 16:30:00+00:00,10687.165839908803,9750.290343177736
2026-03-23 17:00:00+00:00,10701.612441358599,9745.679891404296
2026-03-23 17:30:00+00:00,10754.27956070083,9787.025086703543
2026-03-23 18:00:00+00:00,10764.532280321428,9777.06073759603
2026-03-23 18:30:00+00:00,10798.524113889678,9800.261867124944
2026-03-23 19:00:00+00:00,10773.854202235152,9776.168421373684
2026-03-23 19:30:00+00:00,10734.595437923657,9747.017911863844
2026-03-24 13:30:00+00:00,10721.497311877887,9689.163504829306
2026-03-24 14:00:00+00:00,10766.458417900436,9704.1849176954
2026-03-24 14:30:00+00:00,10844.314428817781,9725.750285441336
2026-03-24 15:00:00+00:00,10983.02989462429,9756.982260971357
2026-03-24 15:30:00+00:00,10984.67968432621,9742.109718766978
2026-03-24 16:00:00+00:00,10964.134520903914,9755.793111173523
2026-03-24 16:30:00+00:00,10954.759976112788,9743.746388297894
2026-03-24 17:00:00+00:00,10918.189180745632,9717.793874771089
2026-03-24 17:30:00+00:00,10960.195450587851,9731.104182775409
2026-03-24 18:00:00+00:00,10973.564846520023,9735.417800973359
2026-03-24 18:30:00+00:00,11011.55866803029,9739.432770099942
2026-03-24 19:00:00+00:00,11006.48445398606,9733.33542720524
2026-03-24 19:30:00+00:00,11033.755273705961,9714.744749449768
2026-03-25 13:30:00+00:00,10858.036911608304,9763.675086512918
2026-03-25 14:00:00+00:00,11114.880100488243,9788.215144249318
2026-03-25 14:30:00+00:00,11122.399700340635,9796.394860912138
2026-03-25 15:00:00+00:00,11059.469715531219,9783.75356313759
2026-03-25 15:30:00+00:00,11081.44264934251,9771.26022827682
2026-03-25 16:00:00+00:00,11106.699145923334,9778.69649937901
2026-03-25 16:30:00+00:00,11123.281990080883,9782.414634930103
2026-03-25 17:00:00+00:00,11094.457406439531,9786.430511804625
2026-03-25 17:30:00+00:00,11107.35871080494,9784.645879359936
2026-03-25 18:00:00+00:00,11149.920964490395,9778.919805371579
2026-03-25 18:30:00+00:00,11083.737265069596,9763.82395717463
2026-03-25 19:00:00+00:00,11071.783119207346,9763.972827836345
2026-03-25 19:30:00+00:00,11078.7249510832,9767.393222064013
2026-03-26 13:30:00+00:00,10663.880205747046,9733.632260780732
2026-03-26 14:00:00+00:00,10674.65178768845,9720.990963006187
2026-03-26 14:30:00+00:00,10528.80454991497,9700.021077907106
2026-03-26 15:00:00+00:00,10565.41801600182,9692.584806804916
2026-03-26 15:30:00+00:00,10615.58754233348,9689.758987476167
2026-03-26 16:00:00+00:00,10548.542226665579,9659.269549758841
2026-03-26 16:30:00+00:00,10452.885132221816,9661.7985355121
2026-03-26 17:00:00+00:00,10427.190233392947,9646.628251984293
2026-03-26 17:30:00+00:00,10358.035226165599,9617.626613136168
2026-03-26 18:00:00+00:00,10342.173216778736,9616.58542625211
2026-03-26 18:30:00+00:00,10403.509324146058,9628.929890451165
2026-03-26 19:00:00+00:00,10399.068533438383,9610.785824680834
2026-03-26 19:30:00+00:00,10315.259664174597,9594.351048276398
2026-03-27 13:30:00+00:00,10418.697609019473,9504.297914158637
2026-03-27 14:00:00+00:00,10403.848776343251,9505.041359719267
2026-03-27 14:30:00+00:00,10445.49210484845,9521.252830131132
2026-03-27 15:00:00+00:00,10479.627963759374,9532.704978107842
2026-03-27 15:30:00+00:00,10489.588714103083,9522.591758338616
2026-03-27 16:00:00+00:00,10443.613136271133,9501.918706815024
2026-03-27 16:30:00+00:00,10449.665265321177,9499.092887486275
2026-03-27 17:00:00+00:00,10352.992957853558,9468.157745531746
2026-03-27 17:30:00+00:00,10336.591301150622,9460.87034509127
2026-03-27 18:00:00+00:00,10347.213630443137,9455.516447757198
2026-03-27 18:30:00+00:00,10355.13396762164,9449.715938437987
2026-03-27 19:00:00+00:00,10337.139820851466,9441.967402045373
2026-03-27 19:30:00+00:00,10369.714688674381,9430.38181512188
2026-03-30 13:30:00+00:00,10080.706678494562,9445.105486664546
2026-03-30 14:00:00+00:00,10064.486777150401,9456.854468216747
2026-03-30 14:30:00+00:00,9981.892476933304,9481.394525953147
2026-03-30 15:00:00+00:00,9903.16948053391,9465.778538188137
2026-03-30 15:30:00+00:00,9934.618307869956,9479.163281523315
2026-03-30 16:00:00+00:00,9815.44895583116,9447.931305993294
2026-03-30 16:30:00+00:00,9848.805771157502,9448.525880892212
2026-03-30 17:00:00+00:00,9773.103740968352,9420.268595352656
2026-03-30 17:30:00+00:00,9838.979883895987,9422.796673357978
2026-03-30 18:00:00+00:00,9803.839220867656,9403.611420703586
2026-03-30 18:30:00+00:00,9778.520695847192,9395.728537616256
2026-03-30 19:00:00+00:00,9750.825545724685,9363.455375202178
2026-03-30 19:30:00+00:00,9805.326556686836,9399.446673167351
2026-03-31 13:30:00+00:00,10151.674208967963,9557.541869419732
2026-03-31 14:00:00+00:00,10117.143912480828,9555.608366313329
2026-03-31 14:30:00+00:00,10008.26544281059,9498.795146162849
2026-03-31 15:00:00+00:00,10018.597165879437,9528.540230571607
2026-03-31 15:30:00+00:00,9914.227447722484,9515.303450150206
2026-03-31 16:00:00+00:00,10018.959505434355,9549.95672765583
2026-03-31 16:30:00+00:00,10195.421634968905,9617.180908898963
2026-03-31 17:00:00+00:00,10225.20997785434,9622.534806233036
2026-03-31 17:30:00+00:00,10181.322938312516,9613.834042254217
2026-03-31 18:00:00+00:00,10232.913073109672,9633.020202656546
2026-03-31 18:30:00+00:00,10293.681776799489,9646.925993307723
2026-03-31 19:00:00+00:00,10324.11421332841,9658.258318556713
2026-03-31 19:30:00+00:00,10344.388502362171,9670.721697735553
2026-04-01 13:30:00+00:00,10819.015181891913,9730.9553121137
2026-04-01 14:00:00+00:00,10900.24400914189,9741.961755853208
2026-04-01 14:30:00+00:00,10942.76683794468,9763.823957174634
2026-04-01 15:00:00+00:00,10958.158410200163,9761.295879169313
2026-04-01 15:30:00+00:00,11015.720054278821,9783.455821814166
2026-04-01 16:00:00+00:00,10968.69004628033,9773.862741613002
2026-04-01 16:30:00+00:00,10969.92750968515,9783.306951152454
2026-04-01 17:00:00+00:00,11014.924007366455,9790.59435159293
2026-04-01 17:30:00+00:00,10963.05477566104,9768.136667624647
2026-04-01 18:00:00+00:00,10841.977532954439,9730.062995891356
2026-04-01 18:30:00+00:00,10861.246851674961,9732.739944558392
2026-04-01 19:00:00+00:00,10919.816887143474,9757.874577193708
2026-04-01 19:30:00+00:00,10903.891747388563,9744.192092535104
2026-04-02 13:30:00+00:00,10814.813097675895,9661.649664850389
2026-04-02 14:00:00+00:00,10827.783610923543,9672.209496604757
2026-04-02 14:30:00+00:00,10962.590003835774,9747.315653187281
2026-04-02 15:00:00+00:00,10956.584103302583,9745.827854318082
2026-04-02 15:30:00+00:00,10949.497205388954,9726.64260166369
2026-04-02 16:00:00+00:00,10895.145225840088,9707.605311923075
2026-04-02 16:30:00+00:00,10937.126485783047,9720.098646783847
2026-04-02 17:00:00+00:00,10955.92168325828,9736.012375872284
2026-04-02 17:30:00+00:00,10899.207861493383,9714.8963433553
2026-04-02 18:00:00+00:00,10929.316409097837,9719.355201223216
2026-04-02 18:30:00+00:00,10959.341948377289,9733.484297866964
2026-04-02 19:00:00+00:00,10970.172792072117,9732.292424825317
2026-04-02 19:30:00+00:00,10994.97530051844,9754.603053627758
2026-04-06 13:30:00+00:00,11161.332234927588,9794.015653568538
2026-04-06 14:00:00+00:00,11100.320859825737,9791.635538476992
2026-04-06 14:30:00+00:00,11096.124405111565,9778.547628717304
2026-04-06 15:00:00+00:00,11070.53422855993,9770.144606061913
2026-04-06 15:30:00+00:00,11100.705912459402,9783.901526051373
2026-04-06 16:00:00+00:00,11071.967168210324,9783.057320469705
2026-04-06 16:30:00+00:00,11072.5050439932,9785.091583597145
2026-04-06 17:00:00+00:00,11090.923264705087,9777.061645343974
2026-04-06 17:30:00+00:00,11056.927724504509,9763.377345189494
2026-04-06 18:00:00+00:00,11096.366636817209,9789.702035370585
2026-04-06 18:30:00+00:00,11110.593043723138,9790.445480931217
2026-04-06 19:00:00+00:00,11089.372492563123,9784.34995353239
2026-04-06 19:30:00+00:00,11097.02019651309,9788.511977824814
